snapshot_id,agent_id,version,plane,epoch_index,epoch_hash
claude-code/1.0.0,claude-code,1.0.0,instruction,1,df3efb34230b62a6
claude-code/1.0.1,claude-code,1.0.1,instruction,1,df3efb34230b62a6
claude-code/1.0.2,claude-code,1.0.2,instruction,1,df3efb34230b62a6
claude-code/1.0.3,claude-code,1.0.3,instruction,1,df3efb34230b62a6
claude-code/1.0.4,claude-code,1.0.4,instruction,2,1bf31aea794b211b
claude-code/1.0.5,claude-code,1.0.5,instruction,2,1bf31aea794b211b
claude-code/1.0.6,claude-code,1.0.6,instruction,2,1bf31aea794b211b
claude-code/1.0.7,claude-code,1.0.7,instruction,3,2f257a17b8cec923
claude-code/1.0.8,claude-code,1.0.8,instruction,3,2f257a17b8cec923
claude-code/1.0.9,claude-code,1.0.9,instruction,3,2f257a17b8cec923
claude-code/1.0.10,claude-code,1.0.10,instruction,3,2f257a17b8cec923
claude-code/1.0.11,claude-code,1.0.11,instruction,3,2f257a17b8cec923
claude-code/1.0.14,claude-code,1.0.14,instruction,3,2f257a17b8cec923
claude-code/1.0.15,claude-code,1.0.15,instruction,3,2f257a17b8cec923
claude-code/1.0.16,claude-code,1.0.16,instruction,3,2f257a17b8cec923
claude-code/1.0.17,claude-code,1.0.17,instruction,3,2f257a17b8cec923
claude-code/1.0.18,claude-code,1.0.18,instruction,3,2f257a17b8cec923
claude-code/1.0.19,claude-code,1.0.19,instruction,3,2f257a17b8cec923
claude-code/1.0.20,claude-code,1.0.20,instruction,4,0b382f40b1f4cc28
claude-code/1.0.21,claude-code,1.0.21,instruction,4,0b382f40b1f4cc28
claude-code/1.0.22,claude-code,1.0.22,instruction,4,0b382f40b1f4cc28
claude-code/1.0.23,claude-code,1.0.23,instruction,4,0b382f40b1f4cc28
claude-code/1.0.24,claude-code,1.0.24,instruction,4,0b382f40b1f4cc28
claude-code/1.0.25,claude-code,1.0.25,instruction,4,0b382f40b1f4cc28
claude-code/1.0.26,claude-code,1.0.26,instruction,4,0b382f40b1f4cc28
claude-code/1.0.27,claude-code,1.0.27,instruction,4,0b382f40b1f4cc28
claude-code/1.0.28,claude-code,1.0.28,instruction,4,0b382f40b1f4cc28
claude-code/1.0.29,claude-code,1.0.29,instruction,4,0b382f40b1f4cc28
claude-code/1.0.30,claude-code,1.0.30,instruction,4,0b382f40b1f4cc28
claude-code/1.0.31,claude-code,1.0.31,instruction,5,014b0d95040fedae
claude-code/1.0.32,claude-code,1.0.32,instruction,5,014b0d95040fedae
claude-code/1.0.33,claude-code,1.0.33,instruction,5,014b0d95040fedae
claude-code/1.0.34,claude-code,1.0.34,instruction,5,014b0d95040fedae
claude-code/1.0.35,claude-code,1.0.35,instruction,6,da74239479c616d2
claude-code/1.0.36,claude-code,1.0.36,instruction,6,da74239479c616d2
claude-code/1.0.37,claude-code,1.0.37,instruction,6,da74239479c616d2
claude-code/1.0.38,claude-code,1.0.38,instruction,7,936d956c664b6b1e
claude-code/1.0.39,claude-code,1.0.39,instruction,7,936d956c664b6b1e
claude-code/1.0.40,claude-code,1.0.40,instruction,7,936d956c664b6b1e
claude-code/1.0.41,claude-code,1.0.41,instruction,7,936d956c664b6b1e
claude-code/1.0.42,claude-code,1.0.42,instruction,7,936d956c664b6b1e
claude-code/1.0.43,claude-code,1.0.43,instruction,7,936d956c664b6b1e
claude-code/1.0.44,claude-code,1.0.44,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.45,claude-code,1.0.45,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.46,claude-code,1.0.46,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.47,claude-code,1.0.47,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.48,claude-code,1.0.48,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.49,claude-code,1.0.49,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.50,claude-code,1.0.50,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.51,claude-code,1.0.51,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.52,claude-code,1.0.52,instruction,8,fce767fbbf2ab3f3
claude-code/1.0.53,claude-code,1.0.53,instruction,9,7aac1b91253f41a3
claude-code/1.0.54,claude-code,1.0.54,instruction,9,7aac1b91253f41a3
claude-code/1.0.55,claude-code,1.0.55,instruction,9,7aac1b91253f41a3
claude-code/1.0.56,claude-code,1.0.56,instruction,10,9314218a25937e4d
claude-code/1.0.57,claude-code,1.0.57,instruction,10,9314218a25937e4d
claude-code/1.0.58,claude-code,1.0.58,instruction,10,9314218a25937e4d
claude-code/1.0.59,claude-code,1.0.59,instruction,11,e672ccb69153fb0c
claude-code/1.0.60,claude-code,1.0.60,instruction,12,e02c91172b31dcbd
claude-code/1.0.61,claude-code,1.0.61,instruction,12,e02c91172b31dcbd
claude-code/1.0.62,claude-code,1.0.62,instruction,12,e02c91172b31dcbd
claude-code/1.0.63,claude-code,1.0.63,instruction,13,25503eed874cbfac
claude-code/1.0.64,claude-code,1.0.64,instruction,14,171d679b655ead59
claude-code/1.0.65,claude-code,1.0.65,instruction,14,171d679b655ead59
claude-code/1.0.66,claude-code,1.0.66,instruction,14,171d679b655ead59
claude-code/1.0.67,claude-code,1.0.67,instruction,14,171d679b655ead59
claude-code/1.0.68,claude-code,1.0.68,instruction,14,171d679b655ead59
claude-code/1.0.69,claude-code,1.0.69,instruction,14,171d679b655ead59
claude-code/1.0.70,claude-code,1.0.70,instruction,15,2de6320b9efb8da9
claude-code/1.0.71,claude-code,1.0.71,instruction,15,2de6320b9efb8da9
claude-code/1.0.72,claude-code,1.0.72,instruction,15,2de6320b9efb8da9
claude-code/1.0.73,claude-code,1.0.73,instruction,15,2de6320b9efb8da9
claude-code/1.0.74,claude-code,1.0.74,instruction,15,2de6320b9efb8da9
claude-code/1.0.76,claude-code,1.0.76,instruction,15,2de6320b9efb8da9
claude-code/1.0.77,claude-code,1.0.77,instruction,15,2de6320b9efb8da9
claude-code/1.0.78,claude-code,1.0.78,instruction,15,2de6320b9efb8da9
claude-code/1.0.79,claude-code,1.0.79,instruction,15,2de6320b9efb8da9
claude-code/1.0.80,claude-code,1.0.80,instruction,15,2de6320b9efb8da9
claude-code/1.0.81,claude-code,1.0.81,instruction,15,2de6320b9efb8da9
claude-code/1.0.82,claude-code,1.0.82,instruction,15,2de6320b9efb8da9
claude-code/1.0.83,claude-code,1.0.83,instruction,15,2de6320b9efb8da9
claude-code/1.0.84,claude-code,1.0.84,instruction,15,2de6320b9efb8da9
claude-code/1.0.85,claude-code,1.0.85,instruction,15,2de6320b9efb8da9
claude-code/1.0.86,claude-code,1.0.86,instruction,15,2de6320b9efb8da9
claude-code/1.0.87,claude-code,1.0.87,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.88,claude-code,1.0.88,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.89,claude-code,1.0.89,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.90,claude-code,1.0.90,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.91,claude-code,1.0.91,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.92,claude-code,1.0.92,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.93,claude-code,1.0.93,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.94,claude-code,1.0.94,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.95,claude-code,1.0.95,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.96,claude-code,1.0.96,instruction,16,ff0e8b5aa6a583a2
claude-code/1.0.98,claude-code,1.0.98,instruction,17,51042c5aed7c317b
claude-code/1.0.100,claude-code,1.0.100,instruction,17,51042c5aed7c317b
claude-code/1.0.102,claude-code,1.0.102,instruction,17,51042c5aed7c317b
claude-code/1.0.103,claude-code,1.0.103,instruction,17,51042c5aed7c317b
claude-code/1.0.105,claude-code,1.0.105,instruction,17,51042c5aed7c317b
claude-code/1.0.106,claude-code,1.0.106,instruction,18,7e366b8f1713e4b8
claude-code/1.0.107,claude-code,1.0.107,instruction,18,7e366b8f1713e4b8
claude-code/1.0.108,claude-code,1.0.108,instruction,18,7e366b8f1713e4b8
claude-code/1.0.109,claude-code,1.0.109,instruction,18,7e366b8f1713e4b8
claude-code/1.0.110,claude-code,1.0.110,instruction,18,7e366b8f1713e4b8
claude-code/1.0.111,claude-code,1.0.111,instruction,19,03330bd2f10d69ab
claude-code/1.0.112,claude-code,1.0.112,instruction,19,03330bd2f10d69ab
claude-code/1.0.113,claude-code,1.0.113,instruction,19,03330bd2f10d69ab
claude-code/1.0.114,claude-code,1.0.114,instruction,19,03330bd2f10d69ab
claude-code/1.0.115,claude-code,1.0.115,instruction,19,03330bd2f10d69ab
claude-code/1.0.116,claude-code,1.0.116,instruction,19,03330bd2f10d69ab
claude-code/1.0.117,claude-code,1.0.117,instruction,19,03330bd2f10d69ab
claude-code/1.0.118,claude-code,1.0.118,instruction,19,03330bd2f10d69ab
claude-code/1.0.119,claude-code,1.0.119,instruction,20,830691dc4d78b636
claude-code/1.0.120,claude-code,1.0.120,instruction,21,be3b475d024ada56
claude-code/1.0.122,claude-code,1.0.122,instruction,21,be3b475d024ada56
claude-code/1.0.123,claude-code,1.0.123,instruction,21,be3b475d024ada56
claude-code/1.0.124,claude-code,1.0.124,instruction,21,be3b475d024ada56
claude-code/1.0.125,claude-code,1.0.125,instruction,21,be3b475d024ada56
claude-code/1.0.126,claude-code,1.0.126,instruction,21,be3b475d024ada56
claude-code/1.0.127,claude-code,1.0.127,instruction,22,d4641669d363c36e
claude-code/1.0.128,claude-code,1.0.128,instruction,23,dedce533c0bada08
claude-code/2.0.0,claude-code,2.0.0,instruction,24,bdac518f827d8901
claude-code/2.0.1,claude-code,2.0.1,instruction,24,bdac518f827d8901
claude-code/2.0.2,claude-code,2.0.2,instruction,25,9cf8f066b82165ad
claude-code/2.0.3,claude-code,2.0.3,instruction,25,9cf8f066b82165ad
claude-code/2.0.5,claude-code,2.0.5,instruction,26,bdac518f827d8901
claude-code/2.0.8,claude-code,2.0.8,instruction,27,9cf8f066b82165ad
claude-code/2.0.9,claude-code,2.0.9,instruction,27,9cf8f066b82165ad
claude-code/2.0.10,claude-code,2.0.10,instruction,27,9cf8f066b82165ad
claude-code/2.0.11,claude-code,2.0.11,instruction,28,f0599f67dde421cf
claude-code/2.0.12,claude-code,2.0.12,instruction,29,819b9360c71ae66d
claude-code/2.0.13,claude-code,2.0.13,instruction,29,819b9360c71ae66d
claude-code/2.0.14,claude-code,2.0.14,instruction,30,9a4f85b4f79eabe1
claude-code/2.0.15,claude-code,2.0.15,instruction,30,9a4f85b4f79eabe1
claude-code/2.0.17,claude-code,2.0.17,instruction,31,abe1f37dccce0676
claude-code/2.0.18,claude-code,2.0.18,instruction,31,abe1f37dccce0676
claude-code/2.0.19,claude-code,2.0.19,instruction,31,abe1f37dccce0676
claude-code/2.0.20,claude-code,2.0.20,instruction,31,abe1f37dccce0676
claude-code/2.0.21,claude-code,2.0.21,instruction,31,abe1f37dccce0676
claude-code/2.0.22,claude-code,2.0.22,instruction,31,abe1f37dccce0676
claude-code/2.0.23,claude-code,2.0.23,instruction,31,abe1f37dccce0676
claude-code/2.0.24,claude-code,2.0.24,instruction,32,4ca24a1a45771cc0
claude-code/2.0.25,claude-code,2.0.25,instruction,32,4ca24a1a45771cc0
claude-code/2.0.26,claude-code,2.0.26,instruction,32,4ca24a1a45771cc0
claude-code/2.0.27,claude-code,2.0.27,instruction,32,4ca24a1a45771cc0
claude-code/2.0.28,claude-code,2.0.28,instruction,33,2f80975b734ddbeb
claude-code/2.0.29,claude-code,2.0.29,instruction,33,2f80975b734ddbeb
claude-code/2.0.30,claude-code,2.0.30,instruction,34,bc055d651ddd07a2
claude-code/2.0.31,claude-code,2.0.31,instruction,35,76e1bf482c8d6fbd
claude-code/2.0.32,claude-code,2.0.32,instruction,35,76e1bf482c8d6fbd
claude-code/2.0.33,claude-code,2.0.33,instruction,35,76e1bf482c8d6fbd
claude-code/2.0.34,claude-code,2.0.34,instruction,36,795625df74edba84
claude-code/2.0.35,claude-code,2.0.35,instruction,36,795625df74edba84
claude-code/2.0.36,claude-code,2.0.36,instruction,37,c63dd0e44460b30c
claude-code/2.0.37,claude-code,2.0.37,instruction,37,c63dd0e44460b30c
